symbol,security_id,acquisition_status,structural_validation,raw_rows,session_rows,trading_days,bar_coverage_pct,out_of_session_rows_quarantined,duplicate_rows_removed,provider_ohlc_anomalies_quarantined,max_intraday_gap_minutes,feature_days_with_complete_opening10,feature_status,raw_1min_file,warning_reasons
TATAELXSI,3411,ACQUIRED,OK,92010,92010,247,99.33603238866397,0,2977,0,1.0,246,AVAILABLE,raw_1min/TATAELXSI.parquet,
TATAINVEST,1621,ACQUIRED,OK,92334,92310,247,99.65991902834008,24,2992,0,1.0,246,AVAILABLE,raw_1min/TATAINVEST.parquet,out_of_session_rows_quarantined
TATAPOWER,3426,ACQUIRED,OK,92010,92010,247,99.33603238866397,0,2977,0,1.0,246,AVAILABLE,raw_1min/TATAPOWER.parquet,
TATASTEEL,3499,ACQUIRED,OK,92010,92010,247,99.33603238866397,0,2977,0,1.0,246,AVAILABLE,raw_1min/TATASTEEL.parquet,
TATATECH,20293,ACQUIRED,OK,92334,92310,247,99.65991902834008,24,2992,0,1.0,246,AVAILABLE,raw_1min/TATATECH.parquet,out_of_session_rows_quarantined
TBOTEK,23740,ACQUIRED,OK,92334,92310,247,99.65991902834008,24,2992,0,1.0,246,AVAILABLE,raw_1min/TBOTEK.parquet,out_of_session_rows_quarantined
TCS,11536,ACQUIRED,OK,92010,92010,247,99.33603238866397,0,2977,0,1.0,246,AVAILABLE,raw_1min/TCS.parquet,
TECHM,13538,ACQUIRED,OK,92010,92010,247,99.33603238866397,0,2977,0,1.0,246,AVAILABLE,raw_1min/TECHM.parquet,
TECHNOE,6445,ACQUIRED,OK,92334,92310,247,99.65991902834008,24,2992,0,1.0,246,AVAILABLE,raw_1min/TECHNOE.parquet,out_of_session_rows_quarantined
TEGA,7105,ACQUIRED,OK,92332,92308,247,99.65775978407557,24,2992,0,1.0,244,AVAILABLE,raw_1min/TEGA.parquet,out_of_session_rows_quarantined
TEJASNET,21131,ACQUIRED,OK,92334,92310,247,99.65991902834008,24,2992,0,1.0,246,AVAILABLE,raw_1min/TEJASNET.parquet,out_of_session_rows_quarantined
TENNIND,759880,ACQUIRED,OK,72374,72350,193,99.96545768566494,24,2244,0,1.0,192,AVAILABLE,raw_1min/TENNIND.parquet,out_of_session_rows_quarantined
THELEELA,757014,ACQUIRED,OK,92333,92309,247,99.65883940620782,24,2992,0,1.0,245,AVAILABLE,raw_1min/THELEELA.parquet,out_of_session_rows_quarantined
THERMAX,3475,ACQUIRED,OK,92334,92310,247,99.65991902834008,24,2992,0,1.0,246,AVAILABLE,raw_1min/THERMAX.parquet,out_of_session_rows_quarantined
TIINDIA,312,ACQUIRED,OK,92010,92010,247,99.33603238866397,0,2977,0,1.0,246,AVAILABLE,raw_1min/TIINDIA.parquet,
TIMKEN,14198,ACQUIRED,OK,92332,92308,247,99.65775978407557,24,2992,0,1.0,244,AVAILABLE,raw_1min/TIMKEN.parquet,out_of_session_rows_quarantined
TITAGARH,15414,ACQUIRED,OK,92334,92310,247,99.65991902834008,24,2992,0,1.0,246,AVAILABLE,raw_1min/TITAGARH.parquet,out_of_session_rows_quarantined
TITAN,3506,ACQUIRED,OK,92010,92010,247,99.33603238866397,0,2977,0,1.0,246,AVAILABLE,raw_1min/TITAN.parquet,
TMCV,759782,ACQUIRED,OK,74248,74224,198,99.96498316498317,24,2244,0,1.0,197,AVAILABLE,raw_1min/TMCV.parquet,out_of_session_rows_quarantined
TMPV,3456,ACQUIRED,OK,91985,91985,247,99.30904183535762,0,2977,0,1.0,245,AVAILABLE,raw_1min/TMPV.parquet,
TORNTPHARM,3518,ACQUIRED,OK,92010,92010,247,99.33603238866397,0,2977,0,1.0,246,AVAILABLE,raw_1min/TORNTPHARM.parquet,
TORNTPOWER,13786,ACQUIRED,OK,92334,92310,247,99.65991902834008,24,2992,0,1.0,246,AVAILABLE,raw_1min/TORNTPOWER.parquet,out_of_session_rows_quarantined
TRAVELFOOD,757545,ACQUIRED,OK,92327,92303,247,99.6523616734143,24,2992,0,1.0,242,AVAILABLE,raw_1min/TRAVELFOOD.parquet,out_of_session_rows_quarantined
TRENT,1964,ACQUIRED,OK,92010,92010,247,99.33603238866397,0,2977,0,1.0,246,AVAILABLE,raw_1min/TRENT.parquet,
TRIDENT,9685,ACQUIRED,OK,92334,92310,247,99.65991902834008,24,2992,0,1.0,246,AVAILABLE,raw_1min/TRIDENT.parquet,out_of_session_rows_quarantined
TRITURBINE,25584,ACQUIRED,OK,92334,92310,247,99.65991902834008,24,2992,0,1.0,246,AVAILABLE,raw_1min/TRITURBINE.parquet,out_of_session_rows_quarantined
TTML,8954,ACQUIRED,OK,92334,92310,247,99.65991902834008,24,2992,0,1.0,246,AVAILABLE,raw_1min/TTML.parquet,out_of_session_rows_quarantined
TVSMOTOR,8479,ACQUIRED,OK,92010,92010,247,99.33603238866397,0,2977,0,1.0,246,AVAILABLE,raw_1min/TVSMOTOR.parquet,
UBL,16713,ACQUIRED,OK,92334,92310,247,99.65991902834008,24,2992,0,1.0,246,AVAILABLE,raw_1min/UBL.parquet,out_of_session_rows_quarantined
UCOBANK,11223,ACQUIRED,OK,92334,92310,247,99.65991902834008,24,2992,0,1.0,246,AVAILABLE,raw_1min/UCOBANK.parquet,out_of_session_rows_quarantined
ULTRACEMCO,11532,ACQUIRED,OK,92010,92010,247,99.33603238866397,0,2977,0,1.0,246,AVAILABLE,raw_1min/ULTRACEMCO.parquet,
UNIONBANK,10753,ACQUIRED,OK,92010,92010,247,99.33603238866397,0,2977,0,1.0,246,AVAILABLE,raw_1min/UNIONBANK.parquet,
UNITDSPR,10447,ACQUIRED,OK,92010,92010,247,99.33603238866397,0,2977,0,1.0,246,AVAILABLE,raw_1min/UNITDSPR.parquet,
UNOMINDA,14154,ACQUIRED,OK,92010,92010,247,99.33603238866397,0,2977,0,1.0,246,AVAILABLE,raw_1min/UNOMINDA.parquet,
UPL,11287,ACQUIRED,OK,92010,92010,247,99.33603238866397,0,2977,0,1.0,246,AVAILABLE,raw_1min/UPL.parquet,
URBANCO,759084,ACQUIRED,OK,87810,87786,235,99.61531914893617,24,2992,0,1.0,233,AVAILABLE,raw_1min/URBANCO.parquet,out_of_session_rows_quarantined
USHAMART,8840,ACQUIRED,OK,92334,92310,247,99.65991902834008,24,2992,0,1.0,246,AVAILABLE,raw_1min/USHAMART.parquet,out_of_session_rows_quarantined
UTIAMC,527,ACQUIRED,OK,92334,92310,247,99.65991902834008,24,2992,0,1.0,246,AVAILABLE,raw_1min/UTIAMC.parquet,out_of_session_rows_quarantined
VBL,18921,ACQUIRED,OK,92010,92010,247,99.33603238866397,0,2977,0,1.0,246,AVAILABLE,raw_1min/VBL.parquet,
VEDL,3063,ACQUIRED,OK,91988,91988,247,99.3122807017544,0,2977,0,1.0,245,AVAILABLE,raw_1min/VEDL.parquet,
VIJAYA,5585,ACQUIRED,OK,92334,92310,247,99.65991902834008,24,2992,0,1.0,246,AVAILABLE,raw_1min/VIJAYA.parquet,out_of_session_rows_quarantined
VMM,27969,ACQUIRED,OK,92010,92010,247,99.33603238866397,0,2977,0,1.0,246,AVAILABLE,raw_1min/VMM.parquet,
