symbol,trade_date,previous_close,open,close,gap_pct,first10_return_pct,first10_range_pct,first10_volume,day_volume,traded_value,day_range_pct,post10_max_up_pct,post10_max_down_pct,first10_direction,close_continuation_after10,reversal_flag,bars,session_coverage_pct,opening10_complete,opening10_missing_bars,batch_number
360ONE,2025-09-01,,1018.1,1032.2,,1.738532560652195,2.6225321677634854,58918.0,263306.0,270967514.1,2.6225321677634854,-0.028963120293490352,-1.621934736435604,1,0.0,1,375,100.0,True,0,1
360ONE,2025-09-02,1032.2,1034.0,1025.9,0.0017438480914551135,-1.1315280464216704,1.411992263056084,15530.0,713451.0,739367665.3,2.572533849129596,2.416120512569697,-0.1858554240438237,-1,0.0,1,375,100.0,True,0,1
360ONE,2025-09-03,1025.9,1020.7,1041.0,-0.00506872014816262,-0.5878318800823013,1.1266777701577348,66899.0,879317.0,907414673.0,3.0959145684334413,2.976249137676157,-0.09855129594954493,-1,0.0,1,375,100.0,True,0,1
360ONE,2025-09-04,1041.0,1043.0,1028.0,0.0019212295869357465,0.17257909875358912,0.584851390220509,30678.0,585493.0,606492241.9,2.4640460210930053,0.4977029096477903,-1.9620980091883622,1,0.0,1,375,100.0,True,0,1
360ONE,2025-09-05,1028.0,1035.0,1039.0,0.006809338521400754,1.1594202898550732,1.5458937198067633,16771.0,311570.0,323425455.6,2.2318840579710058,0.47755491881567025,-1.7287488061126899,1,0.0,1,375,100.0,True,0,1
360ONE,2025-09-08,1039.0,1041.9,1040.0,0.00279114533205016,-0.5278817544869918,0.8446108071792092,16547.0,642787.0,672056230.2,1.9963528169690163,1.7367811655731424,0.0,-1,0.0,1,375,100.0,True,0,1
360ONE,2025-09-09,1040.0,1040.1,1040.3,9.615384615369038e-05,-0.04807230074030944,0.6922411306605178,8310.0,819294.0,856912145.3999999,1.1537352177675224,1.0003847633705432,-0.15390534821083657,-1,0.0,1,375,100.0,True,0,1
360ONE,2025-09-10,1040.3,1043.9,1076.2,0.0034605402287803955,0.7088801609349327,1.063320241402446,18008.0,1184084.0,1264764350.5,3.716831114091405,2.9582421763530986,-0.370969276134292,1,1.0,0,375,100.0,True,0,1
360ONE,2025-09-11,1076.2,1073.0,1056.3,-0.002973425013937936,-0.736253494874195,0.9412861136998983,21041.0,429651.0,455529160.5,1.9105312208760483,0.1877757956999293,-0.9952117172096431,-1,1.0,0,375,100.0,True,0,1
360ONE,2025-09-12,1056.3,1066.0,1068.1,0.009182997254567837,-0.8724202626641642,0.9943714821763517,6119.0,342964.0,363854943.8,2.13883677298311,1.353269612945951,-0.8043910286741784,-1,0.0,1,375,100.0,True,0,1
360ONE,2025-09-15,1068.1,1059.1,1078.5,-0.008426177324220574,0.48154093097914075,0.9158719667642381,30125.0,351958.0,376667865.4,2.2566329902747704,1.757188498402562,-0.48862995677504406,1,1.0,1,375,100.0,True,0,1
360ONE,2025-09-16,1078.5,1079.0,1083.0,0.00046360686138147145,0.315106580166824,0.6302131603336381,9273.0,460816.0,502166582.9000001,1.7423540315106538,1.3580931263857954,-0.37878787878788955,1,1.0,1,375,100.0,True,0,1
360ONE,2025-09-17,1083.0,1090.7,1102.7,0.007109879963065557,0.30255799028147123,0.8710002750527184,22480.0,414214.0,455799624.0,1.6594847345741182,1.2431444241316258,-0.3656307129798919,1,1.0,1,375,100.0,True,0,1
