gap_rank,symbol,valid_sessions,median_abs_gap_pct,p75_abs_gap_pct,p90_abs_gap_pct,p95_abs_gap_pct,p99_abs_gap_pct,mean_abs_gap_pct,gap_up_0.5_rate,gap_down_0.5_rate,gap_up_0.75_rate,gap_down_0.75_rate,gap_up_1_rate,gap_down_1_rate,large_gap_0.5_rate,large_gap_0.75_rate,large_gap_1_rate,max_abs_gap_pct,gap_burden_rank
41,PAGEIND,245,0.0033557046979866,0.0057668711656442,0.008203475829375079,0.010535752434493692,0.03164992689393867,0.00443473929230661,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0362121212121211,0.2195
42,BIKAJI,245,0.002766050371233,0.0061111111111111,0.009839801780467438,0.01475062049049526,0.025389538812235025,0.0045887195952151886,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0437990580847723,0.2205
43,POLYMED,245,0.0032761949335986,0.0060422960725075,0.009014887369269078,0.012822449778971436,0.02419471342676691,0.004597213531889378,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0668349561245342,0.22149999999999997
44,ICICIPRULI,245,0.0032314193388019,0.0058682727202534,0.00944028104680154,0.012967573295620599,0.0481110283484427,0.00494229102655683,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0537830446672744,0.2225
45,HDFCLIFE,245,0.0028865708849965,0.0058580289455547,0.010579489134578738,0.013009264109433217,0.025540188947136,0.004411375322160271,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0331296236732068,0.22349999999999998
46,ICICIGI,245,0.002824858757062,0.0062529557038517,0.010309450193487939,0.014353048272992497,0.03190347908657762,0.004877191664487095,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0633608815426997,0.228
47,IDFCFIRSTB,245,0.0024526979677645,0.0055248618784531,0.009995777338778456,0.015279326930155452,0.042807958581987694,0.00499649288708409,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0971771771771772,0.229
48,SBILIFE,245,0.0032825074121134,0.0061555679910464,0.00957469039614486,0.012182321230793939,0.030544334399368062,0.0048513056820678,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0494457831325301,0.2295
49,BAJAJFINSV,245,0.0030186064924782,0.0057156580211336,0.010375372407522497,0.013196426872346376,0.02732174782404143,0.004643054987658089,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0443123061013444,0.22999999999999998
50,MRF,245,0.0032320620555914,0.0061039857573665,0.009989424696098159,0.012513969004014237,0.030018757034086782,0.0046991886110302784,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.058779527559055,0.23349999999999999
51,SJVN,245,0.0027318475916606,0.006042668639783,0.010350573702917856,0.014867834739346875,0.034097357517501384,0.004789529744451529,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0485968514715947,0.236
52,GRANULES,245,0.0032130777903043,0.0061170212765957,0.010380528315547739,0.011995248114274274,0.019583020874211966,0.004599927331876695,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0650994575045207,0.237
53,IOB,245,0.0027173913043476,0.0058651026392959,0.0104231811548886,0.014877773701303068,0.031882407536576785,0.0048140525876130555,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0387323943661972,0.24
54,TITAN,245,0.0027631578947369,0.0062593144560356,0.01023622839882854,0.015130368838428507,0.030459394960995687,0.0047332391915918095,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0457367863092532,0.2415
55,EXIDEIND,245,0.0024882499308819,0.0050761421319797,0.010492422429989918,0.015252321577153996,0.03167562724014322,0.00439820269195685,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0569677033492821,0.244
56,MAZDOCK,245,0.0031678180222129,0.0057699242697439,0.009864368793859957,0.014134731854423151,0.036701141995259645,0.004804264137886817,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0598191214470285,0.2445
57,TATAELXSI,245,0.0029438822447103,0.0062130177514793,0.01011011515937176,0.014867263870664494,0.03189391394236973,0.004799391775863784,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0477088948787062,0.2455
58,NTPCGREEN,245,0.0025208454527827,0.0055504162812209,0.010290404040404058,0.015789582600418097,0.02775940861213295,0.004489667549019343,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0676633444075304,0.2495
59,PFC,245,0.0029341157642037,0.0056888449171407,0.009276612222936758,0.015935565566554916,0.03394929799287123,0.004766571632677495,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0459546925566343,0.253
60,HAVELLS,245,0.0033369483607241,0.0063241106719367,0.00940820944383896,0.013847358548977432,0.023511088332236998,0.004638964498964156,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0389399235834486,0.254
61,PNBHOUSING,245,0.003154574132492,0.006597549481621,0.01030419289531926,0.014256413821872937,0.03333857294242312,0.00494786497932355,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0473774198885885,0.25925
