,median_abs_gap_pct,p90_abs_gap_pct,p95_abs_gap_pct,large_gap_0.5_rate,large_gap_0.75_rate,large_gap_1_rate,gap_up_1_rate,gap_down_1_rate
0.5,0.00359716575134055,0.012247096690038147,0.017835905699682846,0.0,0.0,0.0,0.0,0.0
0.6,0.00378947074932934,0.012849808619864315,0.018908774118613567,0.0,0.0,0.0,0.0,0.0
0.7,0.00398630881498658,0.013362183414843694,0.0199930567613842,0.0,0.0,0.0,0.0,0.0
0.75,0.00413390521083995,0.013818064512199902,0.02071452214311985,0.0,0.0,0.0,0.0,0.0
0.8,0.00424655457677342,0.014260318296112892,0.021601296103046463,0.0,0.0,0.0,0.0,0.0
0.85,0.004368245535244995,0.014957140490205653,0.022785271135319085,0.0,0.0,0.0,0.0,0.0
0.9,0.004593307000871985,0.016151096486658603,0.024104977299046187,0.0,0.0,0.0,0.0,0.0
0.95,0.005079337341545199,0.017919348989360404,0.026197820184136734,0.0,0.0,0.0,0.0,0.0
0.99,0.006133909825337148,0.02082591777299197,0.032634707751923266,0.0,0.0,0.0,0.0,0.0
